,phase,request,target,targetWord,eventType,instrument,starttime,timestamp,duration,PID,condition,KL,grab,onebyone,count,group1,group2,group3,more,response,spontaneousCounting,right,logic,words,comments,one,two,three,four,five,six,seven,eight,nine,ten,gi,zo,AND,bignumber,nonnumber,kidaction,actor,flag,flagged,date,kl,trial_ind,distracted,question,parent,prompt,other,eyes,,correct,ID,cond,age,expr,action_sequence,ngroups,strat_sequence,comments_list,kid_words,temporal_groups,incomplete,unconditioned,mk_acc,g5_acc,gf_acc,gz_acc,training_acc,giraffe_nums
1092,Main,zogi2,4,zogi,trial,trialsubmit,1720898748775,1720898758844,10069,FL6,-,,2,2,0,2,2,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,True,20240713_FL6,CAT,65.46666667,VT, g b γ δ,2,G.B.,,,2,False,False,1.0,1.0,1.0,0.5,1.0,True
1107,Main,zozo2,6,zozo,trial,trialsubmit,1720898758848,1720898774906,16058,FL6,-,,6,0,0,2,2,2,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,True,20240713_FL6,CAT,65.46666667,VT, g γ δ ε,3,G.,,,1,False,False,1.0,1.0,1.0,0.5,1.0,True
1131,Main,zogi3,4,zogi,trial,trialsubmit,1720898832411,1720898845462,13051,FL6,-,,2,2,0,2,2,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,True,20240713_FL6,CAT,65.46666667,VT, g b γ δ,2,G.B.,,,2,False,False,1.0,1.0,1.0,0.5,1.0,True
1144,Main,zozo3,6,zozo,trial,trialsubmit,1720898845466,1720898865127,19661,FL6,-,,0,6,0,6,0,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,True,20240713_FL6,CAT,65.46666667,VT, b γ,1,B.,,,1,False,False,1.0,1.0,1.0,0.5,1.0,True
1440,Main,zozo1,6,zozo,trial,trialsubmit,1721153375492,1721153418344,42852,FL2,&,,0,0,5,5,0,0,0,5,0,0,0,0,Grabbed a bunch then counted one by one,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240716,,,False,False,False,False,False,,,False,20240716_FL2,CAT,41.0,LM or RA, c γ,1,C.,,,1,False,False,0.0,0.0,0.5,0.5,0.0,True
1452,Main,zogi1,4,zogi,trial,trialsubmit,1721153441679,1721153499116,57437,FL2,&,,1,0,0,1,0,0,0,1,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240716,,,False,False,False,False,False,,,False,20240716_FL2,CAT,41.0,LM or RA, g γ,1,G.,,,1,False,False,0.0,0.0,0.5,0.5,0.0,True
1456,Main,zogi2,4,zogi,trial,trialsubmit,1721153527565,1721153536346,8781,FL2,&,,1,0,0,1,0,0,0,1,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240716,,,False,False,False,False,False,,,False,20240716_FL2,CAT,41.0,LM or RA, g γ,1,G.,,,1,False,False,0.0,0.0,0.5,0.5,0.0,True
1459,Main,zozo2,6,zozo,trial,trialsubmit,1721153536349,1721153546118,9769,FL2,&,,1,0,0,1,0,0,0,1,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240716,,,False,False,False,False,False,,,False,20240716_FL2,CAT,41.0,LM or RA, g γ,1,G.,,,1,False,False,0.0,0.0,0.5,0.5,0.0,True
1469,Main,zozo3,6,zozo,trial,trialsubmit,1721153584546,1721153589895,5349,FL2,&,,1,0,0,1,0,0,0,1,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240716,,,False,False,False,False,False,,,False,20240716_FL2,CAT,41.0,LM or RA, g γ,1,G.,,,1,False,False,0.0,0.0,0.5,0.5,0.0,True
1473,Main,zogi3,4,zogi,trial,trialsubmit,1721153590535,1721153593646,3111,FL2,&,,1,0,0,1,0,0,0,1,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240716,,,False,False,False,False,False,,,False,20240716_FL2,CAT,41.0,LM or RA, g γ,1,G.,,,1,False,False,0.0,0.0,0.5,0.5,0.0,True
1600,Main,zozo1,6,zozo,trial,trialsubmit,1724367006459,1724367011164,4705,FL3,-,,5,0,0,5,0,0,0,5,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240716,,8,False,False,False,False,False,,,False,20240716_FL3,CAT,54.0,LM, g γ,1,G.,,,1,False,False,0.5,1.0,1.0,0.0,0.8888888888888888,True
1619,Main,zogi1,4,zogi,trial,trialsubmit,1724367017558,1724367021098,3540,FL3,-,,4,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240716,,11,False,False,False,False,False,,,True,20240716_FL3,CAT,54.0,LM, g γ,1,G.,,,1,False,False,0.5,1.0,1.0,0.0,0.8888888888888888,True
1648,Main,zogi2,4,zogi,trial,trialsubmit,1724367056236,1724367064084,7848,FL3,-,,4,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240716,,14,False,False,False,False,False,,,True,20240716_FL3,CAT,54.0,LM, g γ,1,G.,,,1,False,False,0.5,1.0,1.0,0.0,0.8888888888888888,True
1655,Main,zozo2,6,zozo,trial,trialsubmit,1724367064086,1724367068677,4591,FL3,-,,3,0,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240716,,15,False,False,False,False,False,,,False,20240716_FL3,CAT,54.0,LM, g γ,1,G.,,,1,False,False,0.5,1.0,1.0,0.0,0.8888888888888888,True
1674,Main,zogi3,4,zogi,trial,trialsubmit,1724367090182,1724367094686,4504,FL3,-,,4,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240716,,18,False,False,False,False,False,,,True,20240716_FL3,CAT,54.0,LM, g γ,1,G.,,,1,False,False,0.5,1.0,1.0,0.0,0.8888888888888888,True
1683,Main,zozo3,6,zozo,trial,trialsubmit,1724367094687,1724367098401,3714,FL3,-,,4,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240716,,19,False,False,False,False,False,,,False,20240716_FL3,CAT,54.0,LM, g γ,1,G.,,,1,False,False,0.5,1.0,1.0,0.0,0.8888888888888888,True
1805,Main,zozo1,6,zozo,trial,trialsubmit,1721248444231,1721248471379,27148,FL1,&,,0,4,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240717,,,False,False,False,False,False,,,False,20240717_FL1,CAT,32.5,VT, b γ,1,B.,,,1,False,False,0.0,0.0,1.0,1.0,1.0,True
1826,Main,zogi1,4,zogi,trial,trialsubmit,1721248507336,1721248527034,19698,FL1,&,,5,0,0,5,0,0,0,5,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240717,,,False,False,False,False,False,,,False,20240717_FL1,CAT,32.5,VT, g γ,1,G.,,,1,False,False,0.0,0.0,1.0,1.0,1.0,True
1847,Main,zogi2,4,zogi,trial,trialsubmit,1721248547390,1721248563300,15910,FL1,&,,0,0,5,5,0,0,0,5,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240717,,,False,False,False,False,False,,,False,20240717_FL1,CAT,32.5,VT, c γ,1,C.,,,1,False,False,0.0,0.0,1.0,1.0,1.0,True
1856,Main,zozo2,6,zozo,trial,trialsubmit,1721248563303,1721248577270,13967,FL1,&,,0,4,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240717,,,False,False,False,False,False,,,False,20240717_FL1,CAT,32.5,VT, b γ,1,B.,,,1,False,False,0.0,0.0,1.0,1.0,1.0,True
1877,Main,zogi3,4,zogi,trial,trialsubmit,1721248603957,1721248621752,17795,FL1,&,,0,0,5,5,0,0,0,5,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240717,,,False,False,False,False,False,,,False,20240717_FL1,CAT,32.5,VT, c γ,1,C.,,,1,False,False,0.0,0.0,1.0,1.0,1.0,True
1886,Main,zozo3,6,zozo,trial,trialsubmit,1721248621755,1721248636836,15081,FL1,&,,4,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240717,,,False,False,False,False,False,,,False,20240717_FL1,CAT,32.5,VT, g γ,1,G.,,,1,False,False,0.0,0.0,1.0,1.0,1.0,True
2156,Main,zozo1,6,zozo,trial,trialsubmit,1721253145937,1721253191101,45164,FL3,&,,6,0,0,6,0,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240717,,,False,False,False,False,False,,,True,20240717_FL3,AND,58.4,VT, g γ,1,G.,,,1,False,False,1.0,1.0,1.0,1.0,1.0,True
2175,Main,zogi1,4,zogi,trial,trialsubmit,1721253249139,1721253268321,19182,FL3,&,,4,0,0,1,3,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240717,,,False,False,False,False,False,,,True,20240717_FL3,AND,58.4,VT, g γ δ,2,G.,,,1,False,False,1.0,1.0,1.0,1.0,1.0,True
2194,Main,zogi2,4,zogi,trial,trialsubmit,1721253297810,1721253309589,11779,FL3,&,,4,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240717,,,False,False,False,False,False,,,True,20240717_FL3,AND,58.4,VT, g γ,1,G.,,,1,False,False,1.0,1.0,1.0,1.0,1.0,True
2207,Main,zozo2,6,zozo,trial,trialsubmit,1721253309592,1721253325922,16330,FL3,&,,6,0,0,3,3,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240717,,,False,False,False,False,False,,,True,20240717_FL3,AND,58.4,VT, g γ δ,2,G.,,,1,False,False,1.0,1.0,1.0,1.0,1.0,True
2226,Main,zogi3,4,zogi,trial,trialsubmit,1721253351912,1721253370975,19063,FL3,&,,4,0,0,3,1,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240717,,,False,False,False,False,False,,,True,20240717_FL3,AND,58.4,VT, g γ δ,2,G.,,,1,False,False,1.0,1.0,1.0,1.0,1.0,True
2239,Main,zozo3,6,zozo,trial,trialsubmit,1721253370980,1721253387538,16558,FL3,&,,6,0,0,3,3,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240717,,,False,False,False,False,False,,,True,20240717_FL3,AND,58.4,VT, g γ δ,2,G.,,,1,False,False,1.0,1.0,1.0,1.0,1.0,True
2373,Main,zozo1,6,zozo,trial,trialsubmit,1721498277715,1721498317929,40214,FL1,&,,6,0,0,6,0,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,True,20240720_FL1,AND,49.26666667,VT, g γ,1,G.,,,1,False,False,1.0,0.5,1.0,1.0,1.0,True
2392,Main,zogi1,4,zogi,trial,trialsubmit,1721498347919,1721498369381,21462,FL1,&,,3,1,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,True,20240720_FL1,AND,49.26666667,VT, g b γ,1,G.B.,,,2,False,False,1.0,0.5,1.0,1.0,1.0,True
2415,Main,zogi2,4,zogi,trial,trialsubmit,1721498419779,1721498434054,14275,FL1,&,,4,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,True,20240720_FL1,AND,49.26666667,VT, g γ,1,G.,,,1,False,False,1.0,0.5,1.0,1.0,1.0,True
2428,Main,zozo2,6,zozo,trial,trialsubmit,1721498434059,1721498448335,14276,FL1,&,,6,0,0,6,0,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,True,20240720_FL1,AND,49.26666667,VT, g γ,1,G.,,,1,False,False,1.0,0.5,1.0,1.0,1.0,True
2447,Main,zogi3,4,zogi,trial,trialsubmit,1721498479411,1721498490754,11343,FL1,&,,4,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,True,20240720_FL1,AND,49.26666667,VT, g γ,1,G.,,,1,False,False,1.0,0.5,1.0,1.0,1.0,True
2460,Main,zozo3,6,zozo,trial,trialsubmit,1721498490757,1721498504120,13363,FL1,&,,5,1,0,6,0,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,True,20240720_FL1,AND,49.26666667,VT, g b γ,1,G.B.,,,2,False,False,1.0,0.5,1.0,1.0,1.0,True
2611,Main,zozo1,6,zozo,trial,trialsubmit,1721500136921,1721500169919,32998,FL2,&,,6,0,0,6,0,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,True,20240720_FL2,AND,70.36666667,LM, g γ,1,G.,,,1,False,False,0.8333333333333334,1.0,0.0,0.5,1.0,False
2632,Main,zogi1,4,zogi,trial,trialsubmit,1721500192973,1721500212403,19430,FL2,&,,5,0,0,5,0,0,0,5,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,False,20240720_FL2,AND,70.36666667,LM, g γ,1,G.,,,1,False,False,0.8333333333333334,1.0,0.0,0.5,1.0,False
2651,Main,zogi2,4,zogi,trial,trialsubmit,1721500233342,1721500244039,10697,FL2,&,,4,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,True,20240720_FL2,AND,70.36666667,LM, g γ,1,G.,,,1,False,False,0.8333333333333334,1.0,0.0,0.5,1.0,False
2671,Main,zozo2,6,zozo,trial,trialsubmit,1721500244042,1721500264389,20347,FL2,&,,0,6,0,6,0,0,0,6,0,6,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,True,20240720_FL2,AND,70.36666667,LM, b γ,1,B.,,,1,False,False,0.8333333333333334,1.0,0.0,0.5,1.0,False
2694,Main,zogi3,4,zogi,trial,trialsubmit,1721500297493,1721500308491,10998,FL2,&,,4,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,True,20240720_FL2,AND,70.36666667,LM, g γ,1,G.,,,1,False,False,0.8333333333333334,1.0,0.0,0.5,1.0,False
2707,Main,zozo3,6,zozo,trial,trialsubmit,1721500308495,1721500323525,15030,FL2,&,,0,6,0,6,0,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,True,20240720_FL2,AND,70.36666667,LM, b γ,1,B.,,,1,False,False,0.8333333333333334,1.0,0.0,0.5,1.0,False
2940,Main,zozo1,6,zozo,trial,trialsubmit,1721501954903,1721501986100,31197,FL4,&,,0,4,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,False,20240720_FL4,CAT,63.03333333,LM, b γ,1,B.,,,1,False,False,0.0,0.0,0.0,1.0,0.75,False
2957,Main,zogi1,4,zogi,trial,trialsubmit,1721502016389,1721502033536,17147,FL4,&,,0,0,3,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,False,20240720_FL4,CAT,63.03333333,LM, c γ,1,C.,,,1,False,False,0.0,0.0,0.0,1.0,0.75,False
2970,Main,zogi2,4,zogi,trial,trialsubmit,1721502055140,1721502065320,10180,FL4,&,,1,0,0,1,0,0,0,1,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,False,20240720_FL4,CAT,63.03333333,LM, g γ,1,G.,,,1,False,False,0.0,0.0,0.0,1.0,0.75,False
2977,Main,zozo2,6,zozo,trial,trialsubmit,1721502065323,1721502079571,14248,FL4,&,,0,3,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,False,20240720_FL4,CAT,63.03333333,LM, b γ,1,B.,,,1,False,False,0.0,0.0,0.0,1.0,0.75,False
2990,Main,zogi3,4,zogi,trial,trialsubmit,1721502112712,1721502121389,8677,FL4,&,,0,1,0,1,0,0,0,1,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,False,20240720_FL4,CAT,63.03333333,LM, b γ,1,B.,,,1,False,False,0.0,0.0,0.0,1.0,0.75,False
2997,Main,zozo3,6,zozo,trial,trialsubmit,1721502121392,1721502132573,11181,FL4,&,,0,3,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,False,20240720_FL4,CAT,63.03333333,LM, b γ,1,B.,,,1,False,False,0.0,0.0,0.0,1.0,0.75,False
3131,Main,zozo1,6,zozo,trial,trialsubmit,1721502668750,1721502694216,25466,FL5,-,,0,2,0,2,0,0,0,2,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,False,20240720_FL5,CAT,55.33333333,VT, b γ,1,B.,,,1,False,False,0.0,0.0,0.0,0.0,0.875,False
3148,Main,zogi1,4,zogi,trial,trialsubmit,1721502710868,1721502728831,17963,FL5,-,,0,3,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,False,20240720_FL5,CAT,55.33333333,VT, b γ,1,B.,,,1,False,False,0.0,0.0,0.0,0.0,0.875,False
3169,Main,zogi2,4,zogi,trial,trialsubmit,1721502745504,1721502760802,15298,FL5,-,,3,0,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,False,20240720_FL5,CAT,55.33333333,VT, g γ,1,G.,,,1,False,False,0.0,0.0,0.0,0.0,0.875,False
3174,Main,zozo2,6,zozo,trial,trialsubmit,1721502760806,1721502771534,10728,FL5,-,,2,0,0,2,0,0,0,2,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,False,20240720_FL5,CAT,55.33333333,VT, g γ,1,G.,,,1,False,False,0.0,0.0,0.0,0.0,0.875,False
3191,Main,zogi3,4,zogi,trial,trialsubmit,1721502797506,1721502805619,8113,FL5,-,,3,0,0,3,0,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,False,20240720_FL5,CAT,55.33333333,VT, g γ,1,G.,,,1,False,False,0.0,0.0,0.0,0.0,0.875,False
3196,Main,zozo3,6,zozo,trial,trialsubmit,1721502805621,1721502812854,7233,FL5,-,,2,0,0,2,0,0,0,2,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240720,,,False,False,False,False,False,,,False,20240720_FL5,CAT,55.33333333,VT, g γ,1,G.,,,1,False,False,0.0,0.0,0.0,0.0,0.875,False
